,Oct. 16 2012 - Oct. 15 2013,Oct. 16 2013 - Oct. 15 2014,Oct. 16 2014 - Oct. 15 2015,Oct. 16 2015 - Oct. 15 2016,Oct. 16 2016 - Oct. 15 2017
North America,158,130,144,127,112
South America,8,15,15,20,8
Europe,100,84,92,100,95
Africa,7,7,9,4,2
Antarctica,0,0,0,0,0
Oceanic-Australasian,17,11,13,11,23
Asia,84,112,82,95,94
,374,359,355,357,334
,,,,,
North America,42.2%,36.2%,40.6%,35.6%,33.5%
South America,2.1%,4.2%,4.2%,5.6%,2.4%
Europe,26.7%,23.4%,25.9%,28.0%,28.4%
Africa,1.9%,1.9%,2.5%,1.1%,0.6%
Antarctica,0.0%,0.0%,0.0%,0.0%,0.0%
Oceanic-Australasian,4.5%,3.1%,3.7%,3.1%,6.9%
Asia,22.5%,31.2%,23.1%,26.6%,28.1%